Name,Sector,Instrument,Assets
Emami Ltd.,Consumer Staples,Equity,2.9%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,2.8%
Blue Dart Express Ltd.,Services,Equity,2.3%
Abbott India Ltd.,Healthcare,Equity,2.3%
Sundaram Finance Ltd.,Financial,Equity,2.3%
Ipca Laboratories Ltd.,Healthcare,Equity,2.2%
Bosch Ltd.,Automobile,Equity,2.1%
Cummins India Ltd.,Capital Goods,Equity,2.1%
Indian Bank,Financial,Equity,2.0%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,2.0%
The Indian Hotels Company Ltd.,Services,Equity,2.0%
Bayer CropScience Ltd.,Chemicals,Equity,2.0%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.8%
Godfrey Phillips India Ltd.,Consumer Staples,Equity,1.8%
Crisil Ltd.,Services,Equity,1.8%
3M India Ltd.,Diversified,Equity,1.7%
The Ramco Cements Ltd.,Construction,Equity,1.7%
Mphasis Ltd.,Technology,Equity,1.6%
Trent Ltd.,Services,Equity,1.5%
Timken India Ltd.,Capital Goods,Equity,1.5%
TVS Motor Company Ltd.,Automobile,Equity,1.4%
Balkrishna Industries Ltd.,Automobile,Equity,1.4%
Max Healthcare Institute Ltd.,Healthcare,Equity,1.4%
Coromandel International Ltd.,Chemicals,Equity,1.4%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.3%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.3%
Page Industries Ltd.,Textiles,Equity,1.3%
Indian Railway Finance Corporation Ltd.,Financial,Equity,1.2%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
The Federal Bank Ltd.,Financial,Equity,1.2%
Thermax Ltd.,Capital Goods,Equity,1.2%
Max Financial Services Ltd.,Financial,Equity,1.2%
Schaeffler India Ltd.,Capital Goods,Equity,1.1%
Canara Bank,Financial,Equity,1.1%
AIA Engineering Ltd.,Metals & Mining,Equity,1.1%
Sundram Fasteners Ltd.,Capital Goods,Equity,1.1%
Voltas Ltd.,Consumer Discretionary,Equity,1.1%
Eris Lifesciences Ltd.,Healthcare,Equity,1.0%
Alkem Laboratories Ltd.,Healthcare,Equity,1.0%
Birlasoft Ltd.,Technology,Equity,1.0%
City Union Bank Ltd.,Financial,Equity,1.0%
Supreme Industries Ltd.,Chemicals,Equity,0.9%
Pfizer Ltd.,Healthcare,Equity,0.9%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.9%
Aarti Industries Ltd.,Chemicals,Equity,0.9%
Oberoi Realty Ltd.,Construction,Equity,0.9%
NTPC Ltd.,Energy,Equity,0.8%
Ashok Leyland Ltd.,Automobile,Equity,0.8%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.8%
Atul Ltd.,Chemicals,Equity,0.8%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.8%
Tube Investments Of India Ltd.,Automobile,Equity,0.8%
Torrent Power Ltd.,Energy,Equity,0.7%
Syngene International Ltd.,Healthcare,Equity,0.6%
Affle (India) Ltd.,Technology,Equity,0.6%
Johnson Controls - Hitachi Air Conditioning India Ltd.,Consumer Discretionary,Equity,0.6%
HDFC Asset Management Company Ltd.,Financial,Equity,0.6%
Godrej Properties Ltd.,Construction,Equity,0.6%
Punjab National Bank,Financial,Equity,0.6%
Gujarat Gas Ltd.,Energy,Equity,0.6%
Manappuram Finance Ltd.,Financial,Equity,0.6%
Zydus Lifesciences Ltd.,Healthcare,Equity,0.5%
Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
H.G. Infra Engineering Ltd.,Construction,Equity,0.5%
Eicher Motors Ltd.,Automobile,Equity,0.5%
Castrol India Ltd.,Energy,Equity,0.5%
Persistent Systems Ltd.,Technology,Equity,0.5%
ICICI Bank Ltd.,Financial,Equity,0.5%
PI Industries Ltd.,Chemicals,Equity,0.5%
Tata Communications Ltd.,Communication,Equity,0.5%
Tech Mahindra Ltd.,Technology,Equity,0.5%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,0.4%
General Insurance Corporation of India,Insurance,Equity,0.4%
Carborundum Universal Ltd.,Metals & Mining,Equity,0.4%
Kajaria Ceramics Ltd.,Construction,Equity,0.4%
Dalmia Bharat Ltd.,Construction,Equity,0.4%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.4%
Navin Fluorine International Ltd.,Chemicals,Equity,0.4%
ABB India Ltd.,Capital Goods,Equity,0.4%
Polycab India Ltd.,Capital Goods,Equity,0.3%
Power Finance Corporation Ltd.,Financial,Equity,0.3%
Radico Khaitan Ltd.,Consumer Staples,Equity,0.3%
ACC Ltd.,Construction,Equity,0.3%
Vinati Organics Ltd.,Chemicals,Equity,0.3%
Laurus Labs Ltd.,Healthcare,Equity,0.3%
Greaves Cotton Ltd.,Capital Goods,Equity,0.3%
SRF Ltd.,Diversified,Equity,0.3%
Endurance Technologies Ltd.,Automobile,Equity,0.3%
The Phoenix Mills Ltd.,Construction,Equity,0.3%
United Breweries Ltd.,Consumer Staples,Equity,0.3%
Oil India Ltd.,Energy,Equity,0.3%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,0.2%
Rainbow Children's Medicare Ltd.,Healthcare,Equity,0.2%
Coforge Ltd.,Technology,Equity,0.2%
Mahindra Lifespace Developers Ltd.,Construction,Equity,0.2%
INOX Leisure Ltd.,Services,Equity,0.2%
RateGain Travel Technologies Ltd.,Technology,Equity,0.2%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.2%
JK Lakshmi Cement Ltd.,Construction,Equity,0.2%
JK Cement Ltd.,Construction,Equity,0.2%
Indraprastha Gas Ltd.,Energy,Equity,0.1%
Arvind Ltd.,Textiles,Equity,0.1%
