Name,Sector,Instrument,Assets
Larsen & Toubro Ltd.,Construction,Equity,9.4%
Ultratech Cement Ltd.,Construction,Equity,5.5%
Gujarat State Petronet Ltd.,Energy,Equity,4.5%
Reliance Industries Ltd.,Energy,Equity,4.0%
Kei Industries Ltd.,Capital Goods,Equity,3.7%
PNC Infratech Ltd.,Construction,Equity,3.7%
Bharti Airtel Ltd.,Communication,Equity,3.4%
Power Grid Corporation Of India Ltd.,Energy,Equity,3.4%
KNR Constructions Ltd.,Construction,Equity,3.1%
Bharat Electronics Ltd.,Capital Goods,Equity,3.0%
Cummins India Ltd.,Capital Goods,Equity,2.9%
Tata Power Company Ltd.,Energy,Equity,2.9%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,2.8%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,2.8%
Kajaria Ceramics Ltd.,Construction,Equity,2.8%
Jamna Auto Industries Ltd.,Automobile,Equity,2.6%
Rolex Rings Ltd,Capital Goods,Equity,2.5%
Container Corporation Of India Ltd.,Services,Equity,2.5%
Escorts Kubota Ltd.,Automobile,Equity,2.5%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,2.4%
Bharat Dynamics Ltd.,Capital Goods,Equity,2.2%
Honeywell Automation India Ltd.,Capital Goods,Equity,2.2%
Craftsman Automation Ltd.,Automobile,Equity,2.2%
Timken India Ltd.,Capital Goods,Equity,2.1%
Birla Corporation Ltd.,Construction,Equity,2.1%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.1%
Thermax Ltd.,Capital Goods,Equity,2.0%
AIA Engineering Ltd.,Metals & Mining,Equity,1.8%
MTAR Technologies Ltd.,Capital Goods,Equity,1.8%
GR Infraprojects Ltd.,Construction,Equity,1.7%
Siemens Ltd.,Capital Goods,Equity,1.4%
H.G. Infra Engineering Ltd.,Construction,Equity,1.2%
Triveni Turbine Ltd.,Capital Goods,Equity,1.1%
Grindwell Norton Ltd.,Metals & Mining,Equity,1.0%
ABB India Ltd.,Capital Goods,Equity,1.0%
Sobha Ltd.,Construction,Equity,0.6%
