Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,7.5%
State Bank of India,Financial,Equity,5.9%
HDFC Bank Ltd.,Financial,Equity,5.9%
Axis Bank Ltd.,Financial,Equity,5.1%
Grasim Industries Ltd.,Construction,Equity,4.0%
NTPC Ltd.,Energy,Equity,3.8%
HCL Technologies Ltd.,Technology,Equity,3.8%
Bharat Electronics Ltd.,Capital Goods,Equity,3.4%
ITC Ltd.,Consumer Staples,Equity,2.8%
Tech Mahindra Ltd.,Technology,Equity,2.8%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,2.5%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.5%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.2%
Nuvoco Vistas Corporation Ltd.,Construction,Equity,2.1%
GAIL (India) Ltd.,Energy,Equity,2.1%
Power Grid Corporation Of India Ltd.,Energy,Equity,2.1%
Indraprastha Gas Ltd.,Energy,Equity,2.0%
Kirloskar Oil Engines Ltd.,Capital Goods,Equity,2.0%
Bharti Airtel Ltd.,Communication,Equity,2.0%
Indusind Bank Ltd.,Financial,Equity,1.9%
Gujarat State Petronet Ltd.,Energy,Equity,1.9%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.9%
Castrol India Ltd.,Energy,Equity,1.9%
Indian Oil Corporation Ltd.,Energy,Equity,1.9%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.7%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.7%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.6%
TeamLease Services Ltd.,Services,Equity,1.5%
ACC Ltd.,Construction,Equity,1.5%
Coal India Ltd.,Energy,Equity,1.4%
Akzo Nobel India Ltd.,Chemicals,Equity,1.3%
Exide Industries Ltd.,Capital Goods,Equity,1.3%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,1.2%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,1.1%
Delhivery Ltd.,Services,Equity,1.0%
ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.0%
Cyient Ltd.,Technology,Equity,1.0%
Vardhman Textiles Ltd.,Textiles,Equity,0.9%
City Union Bank Ltd.,Financial,Equity,0.9%
Rallis India Ltd.,Chemicals,Equity,0.8%
Finolex Cables Ltd.,Capital Goods,Equity,0.7%
