Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,7.7%
Infosys Ltd.,Technology,Equity,4.5%
HDFC Bank Ltd.,Financial,Equity,4.3%
Nestle India Ltd.,Consumer Staples,Equity,3.6%
Housing Development Finance Corporation Ltd.,Financial,Equity,3.1%
Reliance Industries Ltd.,Energy,Equity,3.1%
Titan Company Ltd.,Consumer Discretionary,Equity,2.5%
Ambuja Cements Ltd.,Construction,Equity,2.5%
Maruti Suzuki India Ltd.,Automobile,Equity,2.5%
Asian Paints Ltd.,Chemicals,Equity,2.3%
Persistent Systems Ltd.,Technology,Equity,2.1%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.0%
Axis Bank Ltd.,Financial,Equity,2.0%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.9%
State Bank of India,Financial,Equity,1.9%
Bajaj Finserv Ltd.,Financial,Equity,1.5%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.5%
Navin Fluorine International Ltd.,Chemicals,Equity,1.4%
Cipla Ltd.,Healthcare,Equity,1.4%
Coforge Ltd.,Technology,Equity,1.4%
CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,1.4%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.3%
Ajanta Pharma Ltd.,Healthcare,Equity,1.3%
Eicher Motors Ltd.,Automobile,Equity,1.2%
Larsen & Toubro Ltd.,Construction,Equity,1.2%
Bajaj Finance Ltd.,Financial,Equity,1.2%
360 One Wam Ltd,Financial,Equity,1.1%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.1%
Bikaji Foods International Ltd.,Consumer Staples,Equity,1.1%
Page Industries Ltd.,Textiles,Equity,1.0%
Astral Ltd.,Chemicals,Equity,1.0%
The Phoenix Mills Ltd.,Construction,Equity,1.0%
IIFL Finance Ltd.,Financial,Equity,1.0%
Varun Beverages Ltd.,Consumer Staples,Equity,0.9%
Balkrishna Industries Ltd.,Automobile,Equity,0.9%
RHI Magnesita India Ltd.,Construction,Equity,0.9%
Rainbow Children's Medicare Ltd.,Healthcare,Equity,0.9%
Vedant Fashions Ltd.,Services,Equity,0.9%
Electronics Mart India Ltd.,Services,Equity,0.9%
Syngene International Ltd.,Healthcare,Equity,0.9%
Info Edge (India) Ltd.,Services,Equity,0.9%
LTIMindtree Ltd.,Technology,Equity,0.8%
Safari Industries (India) Ltd.,Chemicals,Equity,0.8%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.8%
Abbott India Ltd.,Healthcare,Equity,0.8%
Garware Technical Fibres Ltd.,Textiles,Equity,0.8%
Tata Consultancy Services Ltd.,Technology,Equity,0.8%
Data Patterns (India) Ltd.,Capital Goods,Equity,0.8%
Kaynes Technology India Ltd.,Capital Goods,Equity,0.8%
La Opala RG Ltd.,Construction,Equity,0.8%
Global Health Ltd.,Healthcare,Equity,0.7%
Craftsman Automation Ltd.,Automobile,Equity,0.7%
Grindwell Norton Ltd.,Metals & Mining,Equity,0.6%
HDFC Asset Management Company Ltd.,Financial,Equity,0.6%
PI Industries Ltd.,Chemicals,Equity,0.6%
Saregama India Ltd.,Services,Equity,0.6%
Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,0.6%
Sumitomo Chemical India Ltd.,Chemicals,Equity,0.6%
Vesuvius India Ltd.,Construction,Equity,0.6%
Bharat Electronics Ltd.,Capital Goods,Equity,0.6%
Honeywell Automation India Ltd.,Capital Goods,Equity,0.6%
BEML Ltd.,Capital Goods,Equity,0.6%
Five-Star Business Finance Ltd.,Financial,Equity,0.6%
Thermax Ltd.,Capital Goods,Equity,0.6%
KNR Constructions Ltd.,Construction,Equity,0.5%
Trent Ltd.,Services,Equity,0.5%
Tata Steel Ltd.,Metals & Mining,Equity,0.5%
3M India Ltd.,Diversified,Equity,0.5%
Harsha Engineers International Ltd.,Capital Goods,Equity,0.5%
Tega Industries Ltd.,Metals & Mining,Equity,0.5%
Gujarat Gas Ltd.,Energy,Equity,0.4%
Campus Activewear Ltd.,Consumer Staples,Equity,0.4%
Dr. Lal Pathlabs Ltd.,Healthcare,Equity,0.4%
Dodla Dairy Ltd,Consumer Staples,Equity,0.4%
Power Grid Corporation Of India Ltd.,Energy,Equity,0.4%
Poly Medicure Ltd.,Healthcare,Equity,0.4%
Mphasis Ltd.,Technology,Equity,0.4%
Mold-Tek Packaging Ltd.,Chemicals,Equity,0.3%
L&T Technology Services Ltd.,Technology,Equity,0.3%
Go Fashion (India) Ltd.,Services,Equity,0.2%
Tracxn Technologies Ltd.,Technology,Equity,0.2%
Fine Organic Industries Ltd.,Chemicals,Equity,0.2%
FSN E-Commerce Ventures Ltd.,Services,Equity,0.2%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.2%
Shaily Engineering Plastics Ltd.,Chemicals,Equity,0.2%
