Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,8.6%
ICICI Bank Ltd.,Financial,Equity,6.9%
State Bank of India,Financial,Equity,5.2%
Canara Bank,Financial,Equity,3.3%
Reliance Industries Ltd.,Energy,Equity,3.1%
Bank Of Baroda,Financial,Equity,3.0%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.5%
Tata Consultancy Services Ltd.,Technology,Equity,2.4%
Bharti Airtel Ltd.,Communication,Equity,2.4%
Ultratech Cement Ltd.,Construction,Equity,2.3%
Sumitomo Chemical India Ltd.,Chemicals,Equity,2.2%
Mahindra & Mahindra Ltd.,Automobile,Equity,2.0%
Larsen & Toubro Ltd.,Construction,Equity,2.0%
Trent Ltd.,Services,Equity,1.9%
Devyani International Ltd.,Services,Equity,1.9%
Varun Beverages Ltd.,Consumer Staples,Equity,1.8%
PI Industries Ltd.,Chemicals,Equity,1.8%
The Phoenix Mills Ltd.,Construction,Equity,1.8%
Indraprastha Gas Ltd.,Energy,Equity,1.7%
Torrent Power Ltd.,Energy,Equity,1.7%
Ashok Leyland Ltd.,Automobile,Equity,1.7%
Infosys Ltd.,Technology,Equity,1.6%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.6%
Tata Steel Ltd.,Metals & Mining,Equity,1.6%
Astral Ltd.,Chemicals,Equity,1.5%
AIA Engineering Ltd.,Metals & Mining,Equity,1.4%
Sundaram Finance Ltd.,Financial,Equity,1.4%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.4%
Apollo Tyres Ltd.,Automobile,Equity,1.4%
TVS Motor Company Ltd.,Automobile,Equity,1.4%
Bharat Forge Ltd.,Automobile,Equity,1.3%
Vinati Organics Ltd.,Chemicals,Equity,1.3%
ABB India Ltd.,Capital Goods,Equity,1.3%
Axis Bank Ltd.,Financial,Equity,1.2%
JSW Steel Ltd.,Metals & Mining,Equity,1.2%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.2%
United Breweries Ltd.,Consumer Staples,Equity,1.1%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.1%
Computer Age Management Services Ltd.,Services,Equity,1.1%
Siemens Ltd.,Capital Goods,Equity,1.1%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.0%
Lemon Tree Hotels Ltd.,Services,Equity,1.0%
HCL Technologies Ltd.,Technology,Equity,1.0%
Persistent Systems Ltd.,Technology,Equity,1.0%
Ajanta Pharma Ltd.,Healthcare,Equity,1.0%
Gujarat Gas Ltd.,Energy,Equity,1.0%
La Opala RG Ltd.,Construction,Equity,1.0%
Timken India Ltd.,Capital Goods,Equity,0.9%
JK Cement Ltd.,Construction,Equity,0.9%
NMDC Ltd.,Metals & Mining,Equity,0.9%
Navin Fluorine International Ltd.,Chemicals,Equity,0.8%
Rolex Rings Ltd,Capital Goods,Equity,0.6%
UNO Minda Ltd.,Automobile,Equity,0.6%
Union Bank of India,Financial,Equity,0.5%
Angel One Ltd.,Financial,Equity,0.5%
NMDC Steel Ltd.,Metals & Mining,Equity,0.2%
