Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,6.6%
ICICI Bank Ltd.,Financial,Equity,5.1%
Larsen & Toubro Ltd.,Construction,Equity,4.6%
Reliance Industries Ltd.,Energy,Equity,3.1%
State Bank of India,Financial,Equity,3.0%
NTPC Ltd.,Energy,Equity,2.9%
Infosys Ltd.,Technology,Equity,2.4%
Axis Bank Ltd.,Financial,Equity,2.3%
Siemens Ltd.,Capital Goods,Equity,2.2%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,2.2%
Bank Of Baroda,Financial,Equity,2.1%
ITC Ltd.,Consumer Staples,Equity,2.0%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.9%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.8%
Ashok Leyland Ltd.,Automobile,Equity,1.8%
Trent Ltd.,Services,Equity,1.8%
Dalmia Bharat Ltd.,Construction,Equity,1.8%
LIC Housing Finance Ltd.,Financial,Equity,1.8%
HCL Technologies Ltd.,Technology,Equity,1.6%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.6%
Abbott India Ltd.,Healthcare,Equity,1.6%
Indraprastha Gas Ltd.,Energy,Equity,1.6%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.5%
TVS Motor Company Ltd.,Automobile,Equity,1.5%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.5%
United Breweries Ltd.,Consumer Staples,Equity,1.4%
AU Small Finance Bank Ltd.,Financial,Equity,1.4%
Bata India Ltd.,Consumer Staples,Equity,1.4%
Alkem Laboratories Ltd.,Healthcare,Equity,1.3%
The Indian Hotels Company Ltd.,Services,Equity,1.3%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,1.3%
Tech Mahindra Ltd.,Technology,Equity,1.3%
Kajaria Ceramics Ltd.,Construction,Equity,1.3%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.2%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
Max Financial Services Ltd.,Financial,Equity,1.2%
Devyani International Ltd.,Services,Equity,1.1%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.1%
Ultratech Cement Ltd.,Construction,Equity,1.1%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.1%
Vedanta Ltd.,Metals & Mining,Equity,1.1%
Ipca Laboratories Ltd.,Healthcare,Equity,1.1%
Cipla Ltd.,Healthcare,Equity,1.0%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.0%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.9%
Voltas Ltd.,Consumer Discretionary,Equity,0.9%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.8%
Grasim Industries Ltd.,Construction,Equity,0.8%
United Spirits Ltd.,Consumer Staples,Equity,0.8%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,0.8%
Bharti Airtel Ltd.,Communication,Equity,0.8%
Info Edge (India) Ltd.,Services,Equity,0.8%
Tata Steel Ltd.,Metals & Mining,Equity,0.7%
Kansai Nerolac Paints Ltd.,Chemicals,Equity,0.7%
Persistent Systems Ltd.,Technology,Equity,0.7%
Pfizer Ltd.,Healthcare,Equity,0.6%
Bajaj Finance Ltd.,Financial,Equity,0.6%
Container Corporation Of India Ltd.,Services,Equity,0.5%
Tata Chemicals Ltd.,Chemicals,Equity,0.5%
Cummins India Ltd.,Capital Goods,Equity,0.4%
PB Fintech Ltd.,Services,Equity,0.4%
JK Cement Ltd.,Construction,Equity,0.4%
ABB India Ltd.,Capital Goods,Equity,0.4%
Tata Consultancy Services Ltd.,Technology,Equity,0.4%
Fortis Healthcare Ltd.,Healthcare,Equity,0.3%
Deepak Nitrite Ltd.,Chemicals,Equity,0.3%
Coal India Ltd.,Energy,Equity,0.3%
Oberoi Realty Ltd.,Construction,Equity,0.3%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.3%
Mphasis Ltd.,Technology,Equity,0.2%
Ambuja Cements Ltd.,Construction,Equity,0.2%
