Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,7.5%
HDFC Bank Ltd.,Financial,Equity,7.2%
Infosys Ltd.,Technology,Equity,5.4%
Reliance Industries Ltd.,Energy,Equity,4.2%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,3.5%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,3.2%
Trent Ltd.,Services,Equity,2.9%
Persistent Systems Ltd.,Technology,Equity,2.6%
Avanti Feeds Ltd.,Consumer Staples,Equity,2.3%
Vardhman Textiles Ltd.,Textiles,Equity,2.3%
Bharat Electronics Ltd.,Capital Goods,Equity,2.1%
HCL Technologies Ltd.,Technology,Equity,2.0%
Bajaj Finance Ltd.,Financial,Equity,2.0%
V-Mart Retail Ltd.,Services,Equity,2.0%
DCM Shriram Ltd.,Diversified,Equity,2.0%
Gujarat Gas Ltd.,Energy,Equity,1.9%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.8%
City Union Bank Ltd.,Financial,Equity,1.7%
Bharti Airtel Ltd.,Communication,Equity,1.7%
Tata Consultancy Services Ltd.,Technology,Equity,1.7%
Mphasis Ltd.,Technology,Equity,1.6%
Orient Electric Ltd.,Consumer Discretionary,Equity,1.6%
Sundram Fasteners Ltd.,Capital Goods,Equity,1.5%
Tata Motors Ltd.,Automobile,Equity,1.5%
Hitachi Energy India Ltd.,Capital Goods,Equity,1.5%
Dalmia Bharat Ltd.,Construction,Equity,1.4%
Gujarat State Petronet Ltd.,Energy,Equity,1.3%
Ashok Leyland Ltd.,Automobile,Equity,1.3%
Sheela Foam Ltd.,Consumer Discretionary,Equity,1.2%
NOCIL Ltd.,Chemicals,Equity,1.2%
Brigade Enterprises Ltd.,Construction,Equity,1.2%
Shoppers Stop Ltd.,Services,Equity,1.1%
Ultratech Cement Ltd.,Construction,Equity,1.1%
Procter & Gamble Hygiene & Health Care Ltd.,Consumer Staples,Equity,1.1%
Blue Star Ltd.,Consumer Discretionary,Equity,1.1%
State Bank of India,Financial,Equity,1.1%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.1%
Ajanta Pharma Ltd.,Healthcare,Equity,1.1%
Maruti Suzuki India Ltd.,Automobile,Equity,1.0%
Avenue Supermarts Ltd.,Services,Equity,1.0%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.0%
Max Financial Services Ltd.,Financial,Equity,1.0%
Alkem Laboratories Ltd.,Healthcare,Equity,0.9%
Sanofi India Ltd.,Healthcare,Equity,0.9%
Lupin Ltd.,Healthcare,Equity,0.9%
AIA Engineering Ltd.,Metals & Mining,Equity,0.9%
Indraprastha Gas Ltd.,Energy,Equity,0.8%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.8%
INOX Leisure Ltd.,Services,Equity,0.6%
IOL Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.6%
PVR Ltd.,Services,Equity,0.6%
MRF Ltd.,Automobile,Equity,0.6%
Nazara Technologies Ltd.,Technology,Equity,0.4%
