Name,Sector,Instrument,Assets
Larsen & Toubro Ltd.,Construction,Equity,4.3%
Siemens Ltd.,Capital Goods,Equity,3.6%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,3.3%
RHI Magnesita India Ltd.,Construction,Equity,3.2%
Power Grid Corporation Of India Ltd.,Energy,Equity,2.9%
Ultratech Cement Ltd.,Construction,Equity,2.9%
CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,2.7%
Reliance Industries Ltd.,Energy,Equity,2.6%
JK Lakshmi Cement Ltd.,Construction,Equity,2.5%
NTPC Ltd.,Energy,Equity,2.5%
ACC Ltd.,Construction,Equity,2.2%
Bharat Electronics Ltd.,Capital Goods,Equity,2.1%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,2.1%
Eureka Forbes Ltd.,Metals & Mining,Equity,2.0%
Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,1.8%
Supreme Industries Ltd.,Chemicals,Equity,1.8%
Bharti Airtel Ltd.,Communication,Equity,1.7%
ABB India Ltd.,Capital Goods,Equity,1.7%
Ambuja Cements Ltd.,Construction,Equity,1.7%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.6%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,1.6%
Triveni Engineering & Industries Ltd.,Consumer Staples,Equity,1.5%
PNC Infratech Ltd.,Construction,Equity,1.5%
Jubilant Ingrevia Ltd.,Chemicals,Equity,1.5%
Container Corporation Of India Ltd.,Services,Equity,1.5%
Dalmia Bharat Ltd.,Construction,Equity,1.5%
Coal India Ltd.,Energy,Equity,1.5%
Grindwell Norton Ltd.,Metals & Mining,Equity,1.5%
Apar Industries Ltd.,Diversified,Equity,1.4%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.4%
Ahluwalia Contracts (India) Ltd.,Construction,Equity,1.4%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.4%
KNR Constructions Ltd.,Construction,Equity,1.4%
Finolex Industries Ltd.,Chemicals,Equity,1.3%
Mishra Dhatu Nigam Ltd.,Metals & Mining,Equity,1.3%
GR Infraprojects Ltd.,Construction,Equity,1.3%
Dhanuka Agritech Ltd.,Chemicals,Equity,1.3%
NHPC Ltd.,Energy,Equity,1.3%
H.G. Infra Engineering Ltd.,Construction,Equity,1.3%
Bharat Forge Ltd.,Automobile,Equity,1.3%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.2%
Engineers India Ltd.,Construction,Equity,1.2%
Bharat Heavy Electricals Ltd.,Capital Goods,Equity,1.1%
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,1.1%
SKF India Ltd.,Capital Goods,Equity,1.1%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.1%
GAIL (India) Ltd.,Energy,Equity,1.1%
Ashok Leyland Ltd.,Automobile,Equity,1.1%
Gujarat State Petronet Ltd.,Energy,Equity,1.1%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.1%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,1.0%
Polycab India Ltd.,Capital Goods,Equity,1.0%
Indraprastha Gas Ltd.,Energy,Equity,1.0%
Bharat Dynamics Ltd.,Capital Goods,Equity,0.9%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.9%
Atul Ltd.,Chemicals,Equity,0.9%
KEC International Ltd.,Capital Goods,Equity,0.9%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,0.9%
Esab India Ltd.,Capital Goods,Equity,0.8%
Voltamp Transformers Ltd.,Capital Goods,Equity,0.8%
Solar Industries India Ltd.,Chemicals,Equity,0.8%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.6%
