Name,Sector,Instrument,Assets
Bajaj Finance Ltd.,Financial,Equity,6.9%
ICICI Bank Ltd.,Financial,Equity,6.4%
Avenue Supermarts Ltd.,Services,Equity,6.1%
HDFC Bank Ltd.,Financial,Equity,4.2%
Reliance Industries Ltd.,Energy,Equity,3.4%
Info Edge (India) Ltd.,Services,Equity,2.9%
Pidilite Industries Ltd.,Chemicals,Equity,2.5%
Siemens Ltd.,Capital Goods,Equity,2.4%
Coforge Ltd.,Technology,Equity,2.2%
Honeywell Automation India Ltd.,Capital Goods,Equity,2.1%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.1%
Tata Elxsi Ltd.,Technology,Equity,2.0%
Divi's Laboratories Ltd.,Healthcare,Equity,1.9%
Larsen & Toubro Ltd.,Construction,Equity,1.8%
Microsoft Corportion (US),Technology,Forgn. Eq,1.8%
Torrent Power Ltd.,Energy,Equity,1.7%
Bajaj Finserv Ltd.,Financial,Equity,1.7%
ABB India Ltd.,Capital Goods,Equity,1.6%
Ultratech Cement Ltd.,Construction,Equity,1.5%
FSN E-Commerce Ventures Ltd.,Services,Equity,1.5%
Tata Consultancy Services Ltd.,Technology,Equity,1.5%
Zomato Ltd.,Services,Equity,1.5%
Alphabet Inc Class A,Services,Forgn. Eq,1.4%
Neogen Chemicals Ltd.,Chemicals,Equity,1.3%
Visa Inc,Financial,Forgn. Eq,1.3%
Taiwan Semiconductor Manufacturing Co Ltd. (Taiwan),Capital Goods,ADS/ADR,1.3%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.2%
Eli Lilly,Healthcare,Forgn. Eq,1.2%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.2%
Apple Inc. (USA),Consumer Discretionary,Forgn. Eq,1.2%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.2%
Gland Pharma Ltd.,Healthcare,Equity,1.1%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.1%
Linde PLC,Chemicals,Forgn. Eq,1.1%
NextEra Energy Inc,Energy,Forgn. Eq,1.0%
Linde India Ltd.,Chemicals,Equity,1.0%
Wipro Ltd.,Technology,Equity,1.0%
Voltas Ltd.,Consumer Discretionary,Equity,0.9%
Housing Development Finance Corporation Ltd.,Financial,Equity,0.9%
Texas Instruments Inc. (US),Capital Goods,Forgn. Eq,0.9%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,0.9%
ASML Holding N.V.,Capital Goods,ADS/ADR,0.9%
L&T Technology Services Ltd.,Technology,Equity,0.9%
Danaher Corporation,Healthcare,Forgn. Eq,0.9%
Canadian Pacific Railway Ltd.,Services,Forgn. Eq,0.8%
AstraZeneca PLC,Healthcare,Forgn. Eq,0.8%
Shell Plc,Energy,Forgn. Eq,0.8%
Charles Schwab Corporation,Financial,Forgn. Eq,0.8%
Booking Holdings Inc,Services,Forgn. Eq,0.8%
Delhivery Ltd.,Services,Equity,0.8%
Solaredge Technologies Inc,Capital Goods,Forgn. Eq,0.8%
Amazon. com Inc. (USA),Services,Forgn. Eq,0.7%
Adobe Systems Inc. (USA),Technology,Forgn. Eq,0.7%
Costco Wholesale Corporation (USA),Services,Forgn. Eq,0.7%
Wyndham Hotels & Resorts Inc,Services,Forgn. Eq,0.7%
AMETEK Inc,Capital Goods,Forgn. Eq,0.6%
Aether Industries Ltd.,Chemicals,Equity,0.6%
MSCI Inc,Financial,Forgn. Eq,0.6%
Comcast Corporation (USA),Services,Forgn. Eq,0.6%
Indiamart Intermesh Ltd.,Services,Equity,0.5%
Intuit Inc. (USA),Technology,Forgn. Eq,0.4%
"JD.COM, INC.",Services,Forgn. Eq,0.4%
Sensata Technologies Holding PLC,Capital Goods,Forgn. Eq,0.4%
Clean Science And Technology Ltd.,Chemicals,Equity,0.4%
Crowdstrike Holdings Inc,Technology,Forgn. Eq,0.4%
Deckers Outdoor Corporation,Consumer Staples,Forgn. Eq,0.4%
PB Fintech Ltd.,Services,Equity,0.2%
Boston Scientific Corp,Healthcare,Forgn. Eq,0.2%
Eureka Forbes Ltd.,Metals & Mining,Equity,0.1%
