Name,Sector,Instrument,Assets
Craftsman Automation Ltd.,Automobile,Equity,4.1%
Timken India Ltd.,Capital Goods,Equity,3.7%
Indian Bank,Financial,Equity,3.4%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,2.9%
VIP Industries Ltd.,Chemicals,Equity,2.7%
The Phoenix Mills Ltd.,Construction,Equity,2.6%
Kajaria Ceramics Ltd.,Construction,Equity,2.4%
Karur Vysya Bank Ltd.,Financial,Equity,2.3%
TeamLease Services Ltd.,Services,Equity,2.3%
Rolex Rings Ltd,Capital Goods,Equity,2.2%
Kei Industries Ltd.,Capital Goods,Equity,2.2%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,2.2%
Metro Brands Ltd.,Consumer Staples,Equity,2.2%
PNC Infratech Ltd.,Construction,Equity,2.1%
Birla Corporation Ltd.,Construction,Equity,2.1%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,2.0%
MTAR Technologies Ltd.,Capital Goods,Equity,2.0%
KNR Constructions Ltd.,Construction,Equity,2.0%
Ajanta Pharma Ltd.,Healthcare,Equity,2.0%
City Union Bank Ltd.,Financial,Equity,1.9%
Orient Electric Ltd.,Consumer Discretionary,Equity,1.9%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.9%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.8%
Triveni Turbine Ltd.,Capital Goods,Equity,1.8%
DFM Foods Ltd.,Consumer Staples,Equity,1.8%
Equitas Holdings Ltd.,Financial,Equity,1.8%
Bharat Dynamics Ltd.,Capital Goods,Equity,1.8%
Can Fin Homes Ltd.,Financial,Equity,1.7%
Tata Steel Ltd.,Metals & Mining,Equity,1.6%
DCB Bank Ltd.,Financial,Equity,1.6%
Jamna Auto Industries Ltd.,Automobile,Equity,1.6%
JK Lakshmi Cement Ltd.,Construction,Equity,1.5%
Infosys Ltd.,Technology,Equity,1.5%
Gujarat State Petronet Ltd.,Energy,Equity,1.5%
Vinati Organics Ltd.,Chemicals,Equity,1.4%
Barbeque-Nation Hospitality Ltd.,Services,Equity,1.4%
Radico Khaitan Ltd.,Consumer Staples,Equity,1.4%
Home First Finance Company India Ltd.,Financial,Equity,1.4%
Sapphire Foods India Ltd.,Services,Equity,1.4%
Expleo Solutions Ltd.,Technology,Equity,1.4%
Cipla Ltd.,Healthcare,Equity,1.3%
Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,1.3%
Persistent Systems Ltd.,Technology,Equity,1.2%
Brigade Enterprises Ltd.,Construction,Equity,1.2%
Accelya Solutions India Ltd.,Technology,Equity,1.2%
Eicher Motors Ltd.,Automobile,Equity,1.2%
Atul Ltd.,Chemicals,Equity,1.1%
VRL Logistics Ltd.,Services,Equity,1.0%
360 One Wam Ltd,Financial,Equity,1.0%
TCI Express Ltd.,Services,Equity,0.9%
Campus Activewear Ltd.,Consumer Staples,Equity,0.9%
Angel One Ltd.,Financial,Equity,0.9%
Neogen Chemicals Ltd.,Chemicals,Equity,0.9%
Safari Industries (India) Ltd.,Chemicals,Equity,0.8%
Krsnaa Diagnostics Ltd.,Healthcare,Equity,0.7%
Tata Elxsi Ltd.,Technology,Equity,0.7%
Apex Frozen Foods Ltd.,Consumer Staples,Equity,0.6%
Dreamfolks Services Ltd.,Services,Equity,0.2%
