Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,6.4%
Infosys Ltd.,Technology,Equity,3.1%
HDFC Bank Ltd.,Financial,Equity,3.0%
TVS Motor Company Ltd.,Automobile,Equity,2.6%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.5%
NTPC Ltd.,Energy,Equity,2.0%
Hero Motocorp Ltd.,Automobile,Equity,2.0%
Cummins India Ltd.,Capital Goods,Equity,1.9%
Larsen & Toubro Ltd.,Construction,Equity,1.8%
The Federal Bank Ltd.,Financial,Equity,1.8%
Avenue Supermarts Ltd.,Services,Equity,1.8%
Alkem Laboratories Ltd.,Healthcare,Equity,1.7%
UNO Minda Ltd.,Automobile,Equity,1.7%
City Union Bank Ltd.,Financial,Equity,1.6%
Maruti Suzuki India Ltd.,Automobile,Equity,1.5%
The Phoenix Mills Ltd.,Construction,Equity,1.5%
Cyient Ltd.,Technology,Equity,1.4%
Reliance Industries Ltd.,Energy,Equity,1.4%
Muthoot Finance Ltd.,Financial,Equity,1.4%
HCL Technologies Ltd.,Technology,Equity,1.3%
Max Financial Services Ltd.,Financial,Equity,1.3%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.3%
Bharti Airtel Ltd.,Communication,Equity,1.2%
Bajaj Electricals Ltd.,Consumer Discretionary,Equity,1.2%
JK Lakshmi Cement Ltd.,Construction,Equity,1.2%
Orient Electric Ltd.,Consumer Discretionary,Equity,1.2%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.2%
State Bank of India,Financial,Equity,1.2%
Oil India Ltd.,Energy,Equity,1.1%
The Indian Hotels Company Ltd.,Services,Equity,1.1%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.1%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.1%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.1%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.1%
Tata Consultancy Services Ltd.,Technology,Equity,1.1%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.1%
EPL Ltd.,Chemicals,Equity,1.0%
Sundaram-Clayton Ltd.,Automobile,Equity,1.0%
Astec Lifesciences Ltd.,Chemicals,Equity,1.0%
Bata India Ltd.,Consumer Staples,Equity,0.9%
V-Mart Retail Ltd.,Services,Equity,0.9%
PVR Ltd.,Services,Equity,0.9%
Schaeffler India Ltd.,Capital Goods,Equity,0.9%
SBI Cards And Payment Services Ltd.,Financial,Equity,0.9%
GR Infraprojects Ltd.,Construction,Equity,0.9%
Container Corporation Of India Ltd.,Services,Equity,0.9%
Tata Communications Ltd.,Communication,Equity,0.9%
JK Cement Ltd.,Construction,Equity,0.8%
Zydus Wellness Ltd.,Consumer Staples,Equity,0.8%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.8%
Barbeque-Nation Hospitality Ltd.,Services,Equity,0.8%
Indusind Bank Ltd.,Financial,Equity,0.8%
Rolex Rings Ltd,Capital Goods,Equity,0.7%
CMS Info Systems Ltd.,Services,Equity,0.7%
CESC Ltd.,Energy,Equity,0.7%
Jamna Auto Industries Ltd.,Automobile,Equity,0.7%
JM Financial Ltd.,Financial,Equity,0.6%
Birlasoft Ltd.,Technology,Equity,0.6%
DCB Bank Ltd.,Financial,Equity,0.6%
PNC Infratech Ltd.,Construction,Equity,0.6%
Persistent Systems Ltd.,Technology,Equity,0.6%
V-Guard Industries Ltd.,Consumer Discretionary,Equity,0.6%
Natco Pharma Ltd.,Healthcare,Equity,0.6%
ITC Ltd.,Consumer Staples,Equity,0.6%
United Breweries Ltd.,Consumer Staples,Equity,0.6%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.5%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,0.5%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,0.5%
NHPC Ltd.,Energy,Equity,0.5%
Ultratech Cement Ltd.,Construction,Equity,0.5%
Supreme Industries Ltd.,Chemicals,Equity,0.5%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.5%
KNR Constructions Ltd.,Construction,Equity,0.4%
Gland Pharma Ltd.,Healthcare,Equity,0.4%
Equitas Holdings Ltd.,Financial,Equity,0.4%
Equitas Small Finance Bank Ltd.,Financial,Equity,0.4%
PCBL Ltd.,Chemicals,Equity,0.4%
Gateway Distriparks Ltd.,Services,Equity,0.4%
Fusion Micro Finance Ltd.,Financial,Equity,0.4%
INOX Leisure Ltd.,Services,Equity,0.4%
Page Industries Ltd.,Textiles,Equity,0.4%
Butterfly Gandhimathi Appliances Ltd.,Consumer Discretionary,Equity,0.4%
Mahindra Lifespace Developers Ltd.,Construction,Equity,0.3%
HDFC Asset Management Company Ltd.,Financial,Equity,0.3%
AIA Engineering Ltd.,Metals & Mining,Equity,0.3%
FDC Ltd.,Healthcare,Equity,0.3%
Tata Steel Ltd.,Metals & Mining,Equity,0.3%
Inox Green Energy Services Ltd.,Others,Equity,0.3%
Kaynes Technology India Ltd.,Capital Goods,Equity,0.3%
Endurance Technologies Ltd.,Automobile,Equity,0.2%
V.S.T. Tillers Tractors Ltd.,Automobile,Equity,0.2%
Zomato Ltd.,Services,Equity,0.2%
