Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.4%
HDFC Bank Ltd.,Financial,Equity,8.4%
Reliance Industries Ltd.,Energy,Equity,8.1%
Infosys Ltd.,Technology,Equity,6.8%
Larsen & Toubro Ltd.,Construction,Equity,6.7%
Axis Bank Ltd.,Financial,Equity,5.8%
Bharti Airtel Ltd.,Communication,Equity,3.6%
Maruti Suzuki India Ltd.,Automobile,Equity,3.2%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.8%
Ultratech Cement Ltd.,Construction,Equity,2.8%
HCL Technologies Ltd.,Technology,Equity,2.5%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.2%
ITC Ltd.,Consumer Staples,Equity,2.2%
Hero Motocorp Ltd.,Automobile,Equity,1.4%
State Bank of India,Financial,Equity,1.4%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,1.3%
TVS Motor Company Ltd.,Automobile,Equity,1.3%
HDFC Asset Management Company Ltd.,Financial,Equity,1.3%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.3%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.2%
United Breweries Ltd.,Consumer Staples,Equity,1.2%
Avenue Supermarts Ltd.,Services,Equity,1.2%
NTPC Ltd.,Energy,Equity,1.2%
Tech Mahindra Ltd.,Technology,Equity,1.2%
ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.0%
Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,1.0%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.0%
Kotak Mahindra Bank Ltd.,Financial,Equity,0.9%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,0.6%
Wipro Ltd.,Technology,Equity,0.6%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.5%
GAIL (India) Ltd.,Energy,Equity,0.5%
Grasim Industries Ltd.,Construction,Equity,0.4%
Vedanta Ltd.,Metals & Mining,Equity,0.4%
Cummins India Ltd.,Capital Goods,Equity,0.4%
Mahindra & Mahindra Ltd.,Automobile,Equity,0.4%
Siemens Ltd.,Capital Goods,Equity,0.4%
LIC Housing Finance Ltd.,Financial,Equity,0.3%
DLF Ltd. - (DLF),Construction,Equity,0.3%
Tata Consultancy Services Ltd.,Technology,Equity,0.3%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.3%
Titan Company Ltd.,Consumer Discretionary,Equity,0.3%
Cognizant Technology Solutions Corp.,Technology,Forgn. Eq,0.3%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,0.3%
Cipla Ltd.,Healthcare,Equity,0.3%
Interglobe Aviation Ltd.,Services,Equity,0.3%
Trent Ltd.,Services,Equity,0.3%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.3%
Reserve Bank of India,Financial,T-Bills,0.3%
Life Insurance Corporation of India,Insurance,Equity,0.2%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.2%
Biocon Ltd.,Healthcare,Equity,0.2%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.2%
JM Financial Ltd.,Financial,Equity,0.2%
Max Financial Services Ltd.,Financial,Equity,0.2%
Muthoot Finance Ltd.,Financial,Equity,0.2%
Alkem Laboratories Ltd.,Healthcare,Equity,0.2%
Apollo Tyres Ltd.,Automobile,Equity,0.2%
Reserve Bank of India,Financial,T-Bills,0.2%
Tata Steel Ltd.,Metals & Mining,Equity,0.2%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.2%
Bajaj Auto Ltd.,Automobile,Equity,0.1%
Zydus Lifesciences Ltd.,Healthcare,Equity,0.1%
