Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,7.0%
ICICI Bank Ltd.,Financial,Equity,6.7%
Infosys Ltd.,Technology,Equity,4.5%
State Bank of India,Financial,Equity,4.2%
Axis Bank Ltd.,Financial,Equity,3.7%
Reliance Industries Ltd.,Energy,Equity,3.4%
Max Healthcare Institute Ltd.,Healthcare,Equity,2.7%
Bajaj Finance Ltd.,Financial,Equity,2.7%
UNO Minda Ltd.,Automobile,Equity,2.6%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,2.4%
Ultratech Cement Ltd.,Construction,Equity,2.4%
Bharat Electronics Ltd.,Capital Goods,Equity,2.4%
The Indian Hotels Company Ltd.,Services,Equity,2.4%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.2%
Larsen & Toubro Ltd.,Construction,Equity,2.0%
Bharti Airtel Ltd.,Communication,Equity,1.9%
Atul Ltd.,Chemicals,Equity,1.8%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.8%
PI Industries Ltd.,Chemicals,Equity,1.6%
Maruti Suzuki India Ltd.,Automobile,Equity,1.5%
Avenue Supermarts Ltd.,Services,Equity,1.5%
City Union Bank Ltd.,Financial,Equity,1.4%
Gujarat Gas Ltd.,Energy,Equity,1.4%
Polycab India Ltd.,Capital Goods,Equity,1.4%
Max Financial Services Ltd.,Financial,Equity,1.4%
Navin Fluorine International Ltd.,Chemicals,Equity,1.4%
TVS Motor Company Ltd.,Automobile,Equity,1.4%
Abbott India Ltd.,Healthcare,Equity,1.4%
Ashok Leyland Ltd.,Automobile,Equity,1.3%
Bharat Forge Ltd.,Automobile,Equity,1.3%
Oberoi Realty Ltd.,Construction,Equity,1.3%
Vinati Organics Ltd.,Chemicals,Equity,1.3%
Mphasis Ltd.,Technology,Equity,1.3%
AIA Engineering Ltd.,Metals & Mining,Equity,1.2%
Titan Company Ltd.,Consumer Discretionary,Equity,1.2%
Tata Consultancy Services Ltd.,Technology,Equity,1.1%
ABB India Ltd.,Capital Goods,Equity,1.1%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.1%
Tata Consumer Products Ltd.,Consumer Staples,Equity,1.1%
Trent Ltd.,Services,Equity,1.1%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.0%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.0%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,0.9%
TCI Express Ltd.,Services,Equity,0.9%
Page Industries Ltd.,Textiles,Equity,0.9%
Honeywell Automation India Ltd.,Capital Goods,Equity,0.8%
Ipca Laboratories Ltd.,Healthcare,Equity,0.8%
Kansai Nerolac Paints Ltd.,Chemicals,Equity,0.7%
Voltas Ltd.,Consumer Discretionary,Equity,0.7%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,0.6%
Gland Pharma Ltd.,Healthcare,Equity,0.6%
Schaeffler India Ltd.,Capital Goods,Equity,0.6%
Blue Dart Express Ltd.,Services,Equity,0.6%
Jubilant FoodWorks Ltd.,Services,Equity,0.5%
The Federal Bank Ltd.,Financial,Equity,0.4%
The Ramco Cements Ltd.,Construction,Equity,0.3%
Balkrishna Industries Ltd.,Automobile,Equity,0.3%
