Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.8%
Infosys Ltd.,Technology,Equity,8.3%
ICICI Bank Ltd.,Financial,Equity,8.0%
Reliance Industries Ltd.,Energy,Equity,5.4%
Axis Bank Ltd.,Financial,Equity,4.5%
Bajaj Finance Ltd.,Financial,Equity,3.9%
Hindustan Unilever Ltd.,Consumer Staples,Equity,3.3%
Larsen & Toubro Ltd.,Construction,Equity,3.3%
Tata Consultancy Services Ltd.,Technology,Equity,3.1%
Maruti Suzuki India Ltd.,Automobile,Equity,2.3%
HDFC Life Insurance Co Ltd.,Insurance,Equity,2.0%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,1.9%
Asian Paints Ltd.,Chemicals,Equity,1.7%
Alkem Laboratories Ltd.,Healthcare,Equity,1.7%
Indusind Bank Ltd.,Financial,Equity,1.6%
Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,1.6%
DLF Ltd. - (DLF),Construction,Equity,1.6%
Ultratech Cement Ltd.,Construction,Equity,1.5%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.5%
Britannia Industries Ltd.,Consumer Staples,Equity,1.5%
The Federal Bank Ltd.,Financial,Equity,1.5%
UNO Minda Ltd.,Automobile,Equity,1.4%
Voltamp Transformers Ltd.,Capital Goods,Equity,1.4%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.4%
K.P.R. Mill Ltd.,Textiles,Equity,1.4%
Astral Ltd.,Chemicals,Equity,1.3%
HCL Technologies Ltd.,Technology,Equity,1.3%
Vinati Organics Ltd.,Chemicals,Equity,1.3%
NTPC Ltd.,Energy,Equity,1.3%
Godrej Properties Ltd.,Construction,Equity,1.2%
ICICI Securities Ltd.,Financial,Equity,1.2%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,1.2%
V-Mart Retail Ltd.,Services,Equity,1.2%
LTIMindtree Ltd.,Technology,Equity,1.1%
Zydus Lifesciences Ltd.,Healthcare,Equity,1.1%
Bank Of Baroda,Financial,Equity,1.1%
Schaeffler India Ltd.,Capital Goods,Equity,1.0%
Metro Brands Ltd.,Consumer Staples,Equity,1.0%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.0%
PI Industries Ltd.,Chemicals,Equity,0.9%
Bharat Electronics Ltd.,Capital Goods,Equity,0.9%
TD Power Systems Ltd.,Capital Goods,Equity,0.9%
Arvind Ltd.,Textiles,Equity,0.8%
3M India Ltd.,Diversified,Equity,0.8%
Divi's Laboratories Ltd.,Healthcare,Equity,0.8%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,0.8%
Trent Ltd.,Services,Equity,0.7%
JK Lakshmi Cement Ltd.,Construction,Equity,0.5%
