Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,6.7%
ICICI Bank Ltd.,Financial,Equity,6.5%
Infosys Ltd.,Technology,Equity,5.5%
Reliance Industries Ltd.,Energy,Equity,5.4%
State Bank of India,Financial,Equity,4.8%
Housing Development Finance Corporation Ltd.,Financial,Equity,4.8%
Axis Bank Ltd.,Financial,Equity,4.3%
Bharti Airtel Ltd.,Communication,Equity,2.9%
Larsen & Toubro Ltd.,Construction,Equity,2.5%
The Federal Bank Ltd.,Financial,Equity,2.2%
INOX Leisure Ltd.,Services,Equity,2.1%
Radico Khaitan Ltd.,Consumer Staples,Equity,2.1%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.0%
Supreme Industries Ltd.,Chemicals,Equity,1.9%
Kei Industries Ltd.,Capital Goods,Equity,1.8%
NTPC Ltd.,Energy,Equity,1.8%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.8%
HCL Technologies Ltd.,Technology,Equity,1.7%
Craftsman Automation Ltd.,Automobile,Equity,1.5%
Ultratech Cement Ltd.,Construction,Equity,1.5%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.5%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.5%
City Union Bank Ltd.,Financial,Equity,1.4%
Polycab India Ltd.,Capital Goods,Equity,1.4%
Gland Pharma Ltd.,Healthcare,Equity,1.4%
UTI Asset Management Company Ltd.,Financial,Equity,1.4%
Cipla Ltd.,Healthcare,Equity,1.4%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.3%
Ambuja Cements Ltd.,Construction,Equity,1.3%
Cummins India Ltd.,Capital Goods,Equity,1.3%
Kajaria Ceramics Ltd.,Construction,Equity,1.3%
Barbeque-Nation Hospitality Ltd.,Services,Equity,1.3%
V-Mart Retail Ltd.,Services,Equity,1.2%
Voltas Ltd.,Consumer Discretionary,Equity,1.2%
Brigade Enterprises Ltd.,Construction,Equity,1.2%
Graphite India Ltd.,Construction,Equity,1.2%
UNO Minda Ltd.,Automobile,Equity,1.1%
PI Industries Ltd.,Chemicals,Equity,1.1%
Eris Lifesciences Ltd.,Healthcare,Equity,1.0%
Bharat Electronics Ltd.,Capital Goods,Equity,1.0%
Tata Motors Ltd.,Automobile,Equity,0.9%
Bajaj Finserv Ltd.,Financial,Equity,0.9%
Ashok Leyland Ltd.,Automobile,Equity,0.9%
Cyient Ltd.,Technology,Equity,0.8%
Tech Mahindra Ltd.,Technology,Equity,0.8%
AIA Engineering Ltd.,Metals & Mining,Equity,0.8%
KNR Constructions Ltd.,Construction,Equity,0.8%
Bajaj Finance Ltd.,Financial,Equity,0.7%
Syrma SGS Technology Ltd.,Capital Goods,Equity,0.7%
Ipca Laboratories Ltd.,Healthcare,Equity,0.6%
Gujarat State Petronet Ltd.,Energy,Equity,0.5%
Welspun India Ltd.,Textiles,Equity,0.4%
K.P.R. Mill Ltd.,Textiles,Equity,0.3%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.1%
