Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.5%
HDFC Bank Ltd.,Financial,Equity,6.2%
Infosys Ltd.,Technology,Equity,5.3%
Axis Bank Ltd.,Financial,Equity,5.1%
State Bank of India,Financial,Equity,4.9%
LTIMindtree Ltd.,Technology,Equity,3.6%
JK Cement Ltd.,Construction,Equity,3.6%
Reliance Industries Ltd.,Energy,Equity,3.2%
PI Industries Ltd.,Chemicals,Equity,2.9%
Bajaj Finance Ltd.,Financial,Equity,2.3%
KPIT Technologies Ltd.,Technology,Equity,1.9%
Polycab India Ltd.,Capital Goods,Equity,1.8%
Kajaria Ceramics Ltd.,Construction,Equity,1.7%
Atul Ltd.,Chemicals,Equity,1.7%
Bharat Forge Ltd.,Automobile,Equity,1.6%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.6%
SRF Ltd.,Diversified,Equity,1.6%
Coforge Ltd.,Technology,Equity,1.6%
Titan Company Ltd.,Consumer Discretionary,Equity,1.4%
Gujarat Gas Ltd.,Energy,Equity,1.4%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.4%
ABB India Ltd.,Capital Goods,Equity,1.4%
United Spirits Ltd.,Consumer Staples,Equity,1.3%
L&T Technology Services Ltd.,Technology,Equity,1.3%
Craftsman Automation Ltd.,Automobile,Equity,1.3%
Fortis Healthcare Ltd.,Healthcare,Equity,1.3%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
Trent Ltd.,Services,Equity,1.2%
Jubilant FoodWorks Ltd.,Services,Equity,1.2%
Aarti Industries Ltd.,Chemicals,Equity,1.2%
Bharti Airtel Ltd.,Communication,Equity,1.2%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.2%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.2%
Gland Pharma Ltd.,Healthcare,Equity,1.1%
Schaeffler India Ltd.,Capital Goods,Equity,1.1%
Rolex Rings Ltd,Capital Goods,Equity,1.0%
MTAR Technologies Ltd.,Capital Goods,Equity,1.0%
Page Industries Ltd.,Textiles,Equity,1.0%
Ashok Leyland Ltd.,Automobile,Equity,1.0%
Endurance Technologies Ltd.,Automobile,Equity,1.0%
Bharat Electronics Ltd.,Capital Goods,Equity,1.0%
Anupam Rasayan India Ltd.,Chemicals,Equity,1.0%
Go Fashion (India) Ltd.,Services,Equity,1.0%
UNO Minda Ltd.,Automobile,Equity,1.0%
Divi's Laboratories Ltd.,Healthcare,Equity,0.9%
TVS Motor Company Ltd.,Automobile,Equity,0.9%
The Ramco Cements Ltd.,Construction,Equity,0.8%
Birlasoft Ltd.,Technology,Equity,0.5%
Devyani International Ltd.,Services,Equity,0.5%
Apollo Tyres Ltd.,Automobile,Equity,0.5%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.5%
FSN E-Commerce Ventures Ltd.,Services,Equity,0.4%
Avenue Supermarts Ltd.,Services,Equity,0.4%
Avanti Feeds Ltd.,Consumer Staples,Equity,0.4%
Affle (India) Ltd.,Technology,Equity,0.4%
Voltas Ltd.,Consumer Discretionary,Equity,0.4%
United Breweries Ltd.,Consumer Staples,Equity,0.3%
Strides Pharma Science Ltd.,Healthcare,Equity,0.3%
One97 Communications Ltd.,Services,Equity,0.3%
Metropolis Healthcare Ltd.,Healthcare,Equity,0.2%
Aarti Pharmalabs Ltd.,Services,Equity,0.1%
