,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,6.0%
1,ICICI Bank Ltd.,Financial,Equity,5.0%
2,Axis Bank Ltd.,Financial,Equity,4.2%
3,Reliance Industries Ltd.,Energy,Equity,4.1%
4,State Bank of India,Financial,Equity,3.2%
5,Infosys Ltd.,Technology,Equity,2.7%
6,SKF India Ltd.,Capital Goods,Equity,2.7%
7,Larsen & Toubro Ltd.,Construction,Equity,2.4%
8,Bharat Forge Ltd.,Automobile,Equity,2.4%
9,JK Cement Ltd.,Construction,Equity,2.1%
10,NTPC Ltd.,Energy,Equity,2.1%
11,Gujarat State Petronet Ltd.,Energy,Equity,2.1%
12,The Federal Bank Ltd.,Financial,Equity,2.1%
13,Bharti Airtel Ltd.,Communication,Equity,2.0%
14,Shriram Finance Ltd,Financial,Equity,2.0%
15,HCL Technologies Ltd.,Technology,Equity,1.8%
16,Tata Steel Ltd.,Metals & Mining,Equity,1.8%
17,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.6%
18,ITC Ltd.,Consumer Staples,Equity,1.5%
19,Tata Consultancy Services Ltd.,Technology,Equity,1.5%
20,Kotak Mahindra Bank Ltd.,Financial,Equity,1.5%
21,Emami Ltd.,Consumer Staples,Equity,1.4%
22,Gland Pharma Ltd.,Healthcare,Equity,1.4%
23,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.4%
24,Max Financial Services Ltd.,Financial,Equity,1.4%
25,PB Fintech Ltd.,Services,Equity,1.3%
26,Indian Energy Exchange Ltd.,Services,Equity,1.3%
27,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.3%
28,Tata Communications Ltd.,Communication,Equity,1.3%
29,Tata Motors Ltd.,Automobile,Equity,1.2%
30,Bata India Ltd.,Consumer Staples,Equity,1.2%
31,Bayer CropScience Ltd.,Chemicals,Equity,1.2%
32,Nuvoco Vistas Corporation Ltd.,Construction,Equity,1.2%
33,Power Finance Corporation Ltd.,Financial,Equity,1.2%
34,Aurobindo Pharma Ltd.,Healthcare,Equity,1.1%
35,Delhivery Ltd.,Services,Equity,1.0%
36,TVS Motor Company Ltd.,Automobile,Equity,1.0%
37,Vinati Organics Ltd.,Chemicals,Equity,1.0%
38,Havells India Ltd.,Capital Goods,Equity,1.0%
39,SBI Cards And Payment Services Ltd.,Financial,Equity,1.0%
40,LTIMindtree Ltd.,Technology,Equity,1.0%
41,Page Industries Ltd.,Textiles,Equity,1.0%
42,Ceat Ltd.,Automobile,Equity,0.9%
43,Atul Ltd.,Chemicals,Equity,0.9%
44,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,0.9%
45,Indraprastha Gas Ltd.,Energy,Equity,0.8%
46,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.8%
47,Zomato Ltd.,Services,Equity,0.8%
48,Natco Pharma Ltd.,Healthcare,Equity,0.8%
49,SBI Life Insurance Company Ltd.,Insurance,Equity,0.8%
50,Prince Pipes and Fittings Ltd.,Chemicals,Equity,0.8%
51,Voltas Ltd.,Consumer Discretionary,Equity,0.7%
52,Titan Company Ltd.,Consumer Discretionary,Equity,0.7%
53,Mphasis Ltd.,Technology,Equity,0.7%
54,Maruti Suzuki India Ltd.,Automobile,Equity,0.7%
55,Sapphire Foods India Ltd.,Services,Equity,0.7%
56,Gateway Distriparks Ltd.,Services,Equity,0.7%
57,Ipca Laboratories Ltd.,Healthcare,Equity,0.6%
58,Housing Development Finance Corporation Ltd.,Financial,Equity,0.6%
59,Prestige Estates Projects Ltd.,Construction,Equity,0.6%
60,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.6%
61,Dabur India Ltd.,Consumer Staples,Equity,0.6%
62,Chemplast Sanmar Ltd.,Chemicals,Equity,0.5%
63,Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
64,Ashok Leyland Ltd.,Automobile,Equity,0.5%
65,NMDC Ltd.,Metals & Mining,Equity,0.5%
66,Balkrishna Industries Ltd.,Automobile,Equity,0.5%
67,The Indian Hotels Company Ltd.,Services,Equity,0.4%
68,United Spirits Ltd.,Consumer Staples,Equity,0.4%
69,Kajaria Ceramics Ltd.,Construction,Equity,0.4%
70,UTI Asset Management Company Ltd.,Financial,Equity,0.4%
71,Hindustan Unilever Ltd.,Consumer Staples,Equity,0.4%
72,National Aluminium Company Ltd.,Metals & Mining,Equity,0.4%
73,Biocon Ltd.,Healthcare,Equity,0.3%
74,One97 Communications Ltd.,Services,Equity,0.3%
